path,relative_path,category,file_size,file_size_human,compressed_size,extension
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/stadia/left_bumper_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/stadia/left_bumper_pressed.png,resourcepacks,365,365 B,375,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/8_key_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/8_key_pressed.png,resourcepacks,755,755 B,717,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/hd/0_key.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/hd/0_key.png,resourcepacks,396,396 B,406,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/hd/n_key_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/hd/n_key_pressed.png,resourcepacks,393,393 B,403,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps3/sd/start_button.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps3/sd/start_button.png,resourcepacks,255,255 B,265,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/xone/left_trigger.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/xone/left_trigger.png,resourcepacks,354,354 B,364,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/hd/pg_up_key.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/hd/pg_up_key.png,resourcepacks,421,421 B,431,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/hd/right_bracket_key.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/hd/right_bracket_key.png,resourcepacks,382,382 B,392,.png
overrides/global_packs/required_resources/rcr-neoforge/assets/legacy/how_to_play_sections.json,global_packs/required_resources/rcr-neoforge/assets/legacy/how_to_play_sections.json,global_packs,7429,7.25 KB,712,.json
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/0_key.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/0_key.png,resourcepacks,760,760 B,722,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps5/hd/left_trigger_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps5/hd/left_trigger_pressed.png,resourcepacks,274,274 B,284,.png
overrides/global_packs/required_resources/rcr-neoforge/assets/defaultslim/skinpacks/1/slimzuri.cpmmodel,global_packs/required_resources/rcr-neoforge/assets/defaultslim/skinpacks/1/slimzuri.cpmmodel,global_packs,9885,9.65 KB,8476,.cpmmodel
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/hd/plus_key.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/hd/plus_key.png,resourcepacks,379,379 B,389,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/sd/left_mouse_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/sd/left_mouse_pressed.png,resourcepacks,398,398 B,408,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/stadia/hd/dpad_right_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/stadia/hd/dpad_right_pressed.png,resourcepacks,6759,6.60 KB,1379,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/x360/hd/start_button_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/x360/hd/start_button_pressed.png,resourcepacks,261,261 B,271,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/hd/grave_key_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/hd/grave_key_pressed.png,resourcepacks,374,374 B,384,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/hd/space_key_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/hd/space_key_pressed.png,resourcepacks,371,371 B,381,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps5/sd/left_button.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps5/sd/left_button.png,resourcepacks,322,322 B,332,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/steam/left_stick_pressed_left.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/steam/left_stick_pressed_left.png,resourcepacks,578,578 B,588,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/wii_u/left_button_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/wii_u/left_button_pressed.png,resourcepacks,309,309 B,311,.png
overrides/resourcepacks/Community Splashes Pack/pack.png,resourcepacks/Community Splashes Pack/pack.png,resourcepacks,5172,5.05 KB,4945,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/hd/end_key_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/hd/end_key_pressed.png,resourcepacks,399,399 B,409,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/hd/quote_key_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/hd/quote_key_pressed.png,resourcepacks,375,375 B,385,.png
overrides/resourcepacks/Clean World Loading/assets/legacy/lang/uk_ua.json,resourcepacks/Clean World Loading/assets/legacy/lang/uk_ua.json,resourcepacks,100,100 B,75,.json
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/equals_key.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/equals_key.png,resourcepacks,753,753 B,707,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/hd/left_bracket_key.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/hd/left_bracket_key.png,resourcepacks,381,381 B,391,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/sd/d_key.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/sd/d_key.png,resourcepacks,305,305 B,315,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps5/hd/touchpad.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps5/hd/touchpad.png,resourcepacks,288,288 B,298,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/steam/fhd/back_button_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/steam/fhd/back_button_pressed.png,resourcepacks,384,384 B,394,.png
overrides/config/modpack_defaults/config/citresewn.json,config/modpack_defaults/config/citresewn.json,config,26,26 B,32,.json
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps3/start_button.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps3/start_button.png,resourcepacks,329,329 B,339,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps5/right_button.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps5/right_button.png,resourcepacks,6952,6.79 KB,1612,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/i_key_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/i_key_pressed.png,resourcepacks,768,768 B,726,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/sd/left_alt_key_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/sd/left_alt_key_pressed.png,resourcepacks,358,358 B,368,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps3/sd/right_button.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps3/sd/right_button.png,resourcepacks,272,272 B,282,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/switch/right_bumper.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/switch/right_bumper.png,resourcepacks,229,229 B,239,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/j_key_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/j_key_pressed.png,resourcepacks,752,752 B,713,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/key_base_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/key_base_pressed.png,resourcepacks,474,474 B,484,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps5/back_button.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps5/back_button.png,resourcepacks,292,292 B,296,.png
overrides/global_packs/required_resources/rcr-neoforge/assets/voicechat/textures/icons/speaker_button.png,global_packs/required_resources/rcr-neoforge/assets/voicechat/textures/icons/speaker_button.png,global_packs,292,292 B,302,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps5/hd/dpad_up_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps5/hd/dpad_up_pressed.png,resourcepacks,397,397 B,407,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/sd/l_key_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/sd/l_key_pressed.png,resourcepacks,305,305 B,315,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/wii_u/start_button.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/wii_u/start_button.png,resourcepacks,301,301 B,304,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/x360/sd/right_stick_pressed_left.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/x360/sd/right_stick_pressed_left.png,resourcepacks,255,255 B,263,.png
overrides/config/modpack_defaults/config/animatium.json,config/modpack_defaults/config/animatium.json,config,3042,2.97 KB,1030,.json
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/steam/fhd/unknown.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/steam/fhd/unknown.png,resourcepacks,494,494 B,504,.png
overrides/global_packs/required_resources/rcr-neoforge/assets/legacy/textures/gui/sprites/comparisons/greek/comparison.png,global_packs/required_resources/rcr-neoforge/assets/legacy/textures/gui/sprites/comparisons/greek/comparison.png,global_packs,84068,82.10 KB,84103,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/x360/sd/left_bumper.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/x360/sd/left_bumper.png,resourcepacks,263,263 B,273,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps5/sd/right_trigger.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps5/sd/right_trigger.png,resourcepacks,277,277 B,287,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/x360/hd/right_button_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/x360/hd/right_button_pressed.png,resourcepacks,305,305 B,315,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps5/sd/up_button_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps5/sd/up_button_pressed.png,resourcepacks,288,288 B,298,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/x360/hd/left_stick_pressed_left.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/x360/hd/left_stick_pressed_left.png,resourcepacks,367,367 B,377,.png
overrides/config/modpack_defaults/config/lithium.properties,config/modpack_defaults/config/lithium.properties,config,54,54 B,56,.properties
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/hd/period_key.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/hd/period_key.png,resourcepacks,371,371 B,381,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/xone/hd/left_stick_pressed_left.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/xone/hd/left_stick_pressed_left.png,resourcepacks,4553,4.45 KB,2017,.png
overrides/global_packs/required_resources/rcr-neoforge/assets/legacy/textures/gui/sprites/comparisons/toy/icon.png,global_packs/required_resources/rcr-neoforge/assets/legacy/textures/gui/sprites/comparisons/toy/icon.png,global_packs,450,450 B,460,.png
overrides/global_packs/required_resources/rcr-neoforge/assets/legacy/textures/gui/sprites/sprites/widget/leaderboard_button_highlighted.png,global_packs/required_resources/rcr-neoforge/assets/legacy/textures/gui/sprites/sprites/widget/leaderboard_button_highlighted.png,global_packs,1346,1.31 KB,1356,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/u_key.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/u_key.png,resourcepacks,742,742 B,700,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps5/sd/unknown.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps5/sd/unknown.png,resourcepacks,321,321 B,331,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/psvita/right_stick_button.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/psvita/right_stick_button.png,resourcepacks,351,351 B,361,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/x360/dpad_down_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/x360/dpad_down_pressed.png,resourcepacks,335,335 B,345,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/hd/enter_key.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/hd/enter_key.png,resourcepacks,391,391 B,401,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/left_key.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/left_key.png,resourcepacks,758,758 B,720,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/sd/f12_key.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/sd/f12_key.png,resourcepacks,323,323 B,333,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/sd/v_key_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/sd/v_key_pressed.png,resourcepacks,316,316 B,326,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps4/right_stick.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps4/right_stick.png,resourcepacks,377,377 B,387,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/steam/dpad_up.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/steam/dpad_up.png,resourcepacks,395,395 B,405,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/sd/mouse_scroll_button.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/sd/mouse_scroll_button.png,resourcepacks,404,404 B,414,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/x360/sd/up_button.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/x360/sd/up_button.png,resourcepacks,223,223 B,231,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/xone/hd/right_trigger_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/xone/hd/right_trigger_pressed.png,resourcepacks,4349,4.25 KB,1801,.png
overrides/global_packs/required_resources/rcr-neoforge/assets/legacy/ui_definitions/how_to_play/tridents.json,global_packs/required_resources/rcr-neoforge/assets/legacy/ui_definitions/how_to_play/tridents.json,global_packs,1191,1.16 KB,276,.json
overrides/resourcepacks/Clean World Loading/assets/legacy/lang/cs_cz.json,resourcepacks/Clean World Loading/assets/legacy/lang/cs_cz.json,resourcepacks,100,100 B,75,.json
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps4/dpad_up_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps4/dpad_up_pressed.png,resourcepacks,402,402 B,412,.png
overrides/global_packs/required_resources/rcr-neoforge/assets/legacy/textures/gui/sprites/comparisons/norse/icon.png,global_packs/required_resources/rcr-neoforge/assets/legacy/textures/gui/sprites/comparisons/norse/icon.png,global_packs,477,477 B,487,.png
overrides/global_packs/required_resources/rcr-neoforge/assets/voicechat/textures/icons/speaker_small_off.png,global_packs/required_resources/rcr-neoforge/assets/voicechat/textures/icons/speaker_small_off.png,global_packs,169,169 B,178,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/hd/f12_key.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/hd/f12_key.png,resourcepacks,406,406 B,416,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/sd/minus_key_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/sd/minus_key_pressed.png,resourcepacks,306,306 B,316,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps5/right_stick_pressed_right.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps5/right_stick_pressed_right.png,resourcepacks,395,395 B,405,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/sd/home_key.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/sd/home_key.png,resourcepacks,370,370 B,380,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/hd/t_key.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/hd/t_key.png,resourcepacks,323,323 B,333,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/hd/z_key_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/hd/z_key_pressed.png,resourcepacks,395,395 B,405,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/stadia/hd/right_stick_pressed_left.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/stadia/hd/right_stick_pressed_left.png,resourcepacks,586,586 B,596,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/x360/left_stick_pressed_right.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/x360/left_stick_pressed_right.png,resourcepacks,593,593 B,603,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/f_key_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/f_key_pressed.png,resourcepacks,769,769 B,726,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/s_key_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/s_key_pressed.png,resourcepacks,782,782 B,738,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/sd/comma_key.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/sd/comma_key.png,resourcepacks,301,301 B,311,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps4/hd/left_stick.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps4/hd/left_stick.png,resourcepacks,389,389 B,399,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/steam/back_button_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/steam/back_button_pressed.png,resourcepacks,369,369 B,379,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/wii_u/right_trigger.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/wii_u/right_trigger.png,resourcepacks,313,313 B,323,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/xone/hd/right_stick_button_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/xone/hd/right_stick_button_pressed.png,resourcepacks,4461,4.36 KB,1922,.png
overrides/global_packs/required_resources/rcr-neoforge/assets/legacy/textures/gui/sprites/comparisons/egyptian/icon.png,global_packs/required_resources/rcr-neoforge/assets/legacy/textures/gui/sprites/comparisons/egyptian/icon.png,global_packs,691,691 B,701,.png
overrides/global_packs/required_resources/rcr-neoforge/assets/legacy/textures/gui/sprites/comparisons/realistic/icon.png,global_packs/required_resources/rcr-neoforge/assets/legacy/textures/gui/sprites/comparisons/realistic/icon.png,global_packs,1884,1.84 KB,1887,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps3/sd/left_bumper_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps3/sd/left_bumper_pressed.png,resourcepacks,220,220 B,228,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/steam/left_stick.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/steam/left_stick.png,resourcepacks,586,586 B,596,.png
overrides/global_packs/required_resources/rcr-neoforge/assets/legacy/textures/gui/sprites/comparisons/nightmare/icon.png,global_packs/required_resources/rcr-neoforge/assets/legacy/textures/gui/sprites/comparisons/nightmare/icon.png,global_packs,795,795 B,805,.png
overrides/global_packs/required_resources/rcr-neoforge/assets/voicechat/textures/icons/lock.png,global_packs/required_resources/rcr-neoforge/assets/voicechat/textures/icons/lock.png,global_packs,156,156 B,166,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps5/hd/start_button_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps5/hd/start_button_pressed.png,resourcepacks,263,263 B,273,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/font/xbox_360.json,resourcepacks/Tooltips Enhanced/assets/legacy/font/xbox_360.json,resourcepacks,9978,9.74 KB,500,.json
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/minus_key_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/minus_key_pressed.png,resourcepacks,749,749 B,694,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/sd/key_base.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/sd/key_base.png,resourcepacks,268,268 B,277,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/psvita/back_button.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/psvita/back_button.png,resourcepacks,246,246 B,256,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/x360/hd/down_button.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/x360/hd/down_button.png,resourcepacks,264,264 B,271,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/6_key.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/6_key.png,resourcepacks,757,757 B,718,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/hd/o_key_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/hd/o_key_pressed.png,resourcepacks,386,386 B,396,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/sd/equals_key.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/sd/equals_key.png,resourcepacks,298,298 B,308,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/sd/f8_key_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/sd/f8_key_pressed.png,resourcepacks,331,331 B,341,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps3/dpad_up.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps3/dpad_up.png,resourcepacks,333,333 B,343,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/switch/start_button.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/switch/start_button.png,resourcepacks,424,424 B,434,.png
overrides/global_packs/required_resources/rcr-neoforge/assets/lspodh/LICENSE,global_packs/required_resources/rcr-neoforge/assets/lspodh/LICENSE,global_packs,20259,19.78 KB,6248,(none)
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/f7_key.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/f7_key.png,resourcepacks,765,765 B,718,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/hd/1_key.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/hd/1_key.png,resourcepacks,328,328 B,338,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/slash_key.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/slash_key.png,resourcepacks,499,499 B,509,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps3/right_bumper.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps3/right_bumper.png,resourcepacks,334,334 B,344,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/xone/hd/right_bumper_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/xone/hd/right_bumper_pressed.png,resourcepacks,4373,4.27 KB,1825,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/xone/sd/right_stick_button_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/xone/sd/right_stick_button_pressed.png,resourcepacks,337,337 B,347,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/xone/sd/up_button_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/xone/sd/up_button_pressed.png,resourcepacks,282,282 B,292,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/0_key_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/0_key_pressed.png,resourcepacks,768,768 B,726,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/l_key.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/l_key.png,resourcepacks,733,733 B,691,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps4/hd/left_button_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps4/hd/left_button_pressed.png,resourcepacks,289,289 B,299,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/switch/hd/back_button_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/switch/hd/back_button_pressed.png,resourcepacks,6718,6.56 KB,1334,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/left_bracket_key.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/left_bracket_key.png,resourcepacks,502,502 B,512,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/sd/d_key_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/sd/d_key_pressed.png,resourcepacks,315,315 B,325,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps5/hd/right_trigger_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps5/hd/right_trigger_pressed.png,resourcepacks,301,301 B,311,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/xone/hd/dpad_left.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/xone/hd/dpad_left.png,resourcepacks,4344,4.24 KB,1802,.png
overrides/config/modpack_defaults/config/lambdynlights.toml,config/modpack_defaults/config/lambdynlights.toml,config,4095,4.00 KB,1217,.toml
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/left_mouse_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/left_mouse_pressed.png,resourcepacks,607,607 B,617,.png
