path,relative_path,category,file_size,file_size_human,compressed_size,extension
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps3/sd/dpad_down_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps3/sd/dpad_down_pressed.png,resourcepacks,264,264 B,274,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps3/sd/left_button_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps3/sd/left_button_pressed.png,resourcepacks,258,258 B,268,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/steam/fhd/right_button_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/steam/fhd/right_button_pressed.png,resourcepacks,462,462 B,472,.png
overrides/resourcepacks/Clean World Loading/assets/legacy/lang/ru_ru.json,resourcepacks/Clean World Loading/assets/legacy/lang/ru_ru.json,resourcepacks,100,100 B,75,.json
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps4/sd/right_stick_pressed_left.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps4/sd/right_stick_pressed_left.png,resourcepacks,266,266 B,275,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps5/hd/right_stick_button_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps5/hd/right_stick_button_pressed.png,resourcepacks,312,312 B,322,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/switch/down_button.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/switch/down_button.png,resourcepacks,294,294 B,296,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/sd/right_mouse_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/kbm/sd/right_mouse_pressed.png,resourcepacks,394,394 B,404,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps4/hd/left_bumper_pressed.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps4/hd/left_bumper_pressed.png,resourcepacks,248,248 B,257,.png
overrides/resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps5/dpad_right.png,resourcepacks/Tooltips Enhanced/assets/legacy/textures/component/ps5/dpad_right.png,resourcepacks,337,337 B,341,.png
