path,file_size,file_size_human,env_client,env_server,download_domain,download_url,sha1,sha512,heuristic_role
mods/DamageVignette-2.0.2-forge+mc1.20.jar,139715,136.44 KB,(省略),(省略),cdn.modrinth.com,https://cdn.modrinth.com/data/TsEhjL6r/versions/Ekre1nh1/DamageVignette-2.0.2-forge%2Bmc1.20.jar,f847ee8d9e06be19158da2e01c3699bb1e81c210,3220954153d4cac4073f69f7411218f1ea48d0f7a14f2ba12db012c6fa2bb0aac52961ea97278c3ff2a1e28130c07ded1279a8106f2ae4cd23a4c4abd3103be3,可能是客户端/视觉/QoL
mods/do_a_barrel_roll-forge-3.5.6+1.20.1.jar,625488,610.83 KB,(省略),(省略),cdn.modrinth.com,https://cdn.modrinth.com/data/6FtRfnLg/versions/VH8QpKA5/do_a_barrel_roll-forge-3.5.6%2B1.20.1.jar,08b58bfbdf20660bdc5a0c4a0b088f7d89f40a38,f07294a0e43826c400d10fe52b6d3a5f58ba9c51eecd464f30957faae875d397a8fbfdd8b6e58989fc7ebfbb59f84b283eb7a83bebc906777d1a2b65336deec4,可能是客户端/视觉/QoL
mods/embeddium-0.3.31+mc1.20.1.jar,1320675,1.26 MB,(省略),(省略),cdn.modrinth.com,https://cdn.modrinth.com/data/sk9rgfiA/versions/UTbfe5d1/embeddium-0.3.31%2Bmc1.20.1.jar,bb2fa8f3e493af16af9160d049f96c614a1faf2f,ffbf2da4685260a4d5c14c621708bd20722563f084f042d3dfb0a7b87f048e39299648c854a93939129da0d23a15a91ec628560d601e76074b08e275f6e132e9,可能是客户端/视觉/QoL
mods/emi-1.1.24+1.20.1+forge.jar,1121750,1.07 MB,(省略),(省略),cdn.modrinth.com,https://cdn.modrinth.com/data/fRiHVvU7/versions/Axuu9I9R/emi-1.1.24%2B1.20.1%2Bforge.jar,ea320200878e4a49196760234a22da763671520a,02743be3476b7dc5668cedbcc5a6d384e9806981833926a83fed76a2800c44da33576e86308c058250718c128d58076f1b62bc53d200464326ace70a43229c8b,未知/通用待确认
mods/fabric-api-0.92.6+1.11.14+1.20.1.jar,3065813,2.92 MB,(省略),(省略),cdn.modrinth.com,https://cdn.modrinth.com/data/Aqlf1Shp/versions/XweDEycJ/fabric-api-0.92.6%2B1.11.14%2B1.20.1.jar,285c22b2567b9fdf98ef9808eceb5557de9611d3,3b84ea415d9255861bcbf78cfda3987b78aa452361bf44ba6a0223501a25ab5c5c55cb0eac6f460c88b8cec958f2b59211e488277c26e3432a08196f62049e7c,可能是服务端或通用/玩法核心
mods/fabric-language-kotlin-1.13.6+kotlin.2.2.20.jar,7479598,7.13 MB,(省略),(省略),cdn.modrinth.com,https://cdn.modrinth.com/data/Ha28R6CL/versions/i6MmXDwA/fabric-language-kotlin-1.13.6%2Bkotlin.2.2.20.jar,05e9cc4108da5b50735fa6d8a79a18fcd5310d82,1d1d70bd4662ec1fcba57c9f16c3bceb185e8986119f266594f37d145d6d19772e5d6a50dcfec315e600c9eafd32f2b5f86bab72ae1954891297cde7fce62e9b,可能是服务端或通用/玩法核心
mods/fast-ip-ping-v1.0.11-mc1.20.4-forge.jar,10408,10.16 KB,(省略),(省略),cdn.modrinth.com,https://cdn.modrinth.com/data/9mtu0sUO/versions/WVhGsL3a/fast-ip-ping-v1.0.11-mc1.20.4-forge.jar,0499d46875bce1bffb1978ff775a77b13363aa22,394ea9a4f1afcf8eca0a1d57eb560dc54af0213b8062be95032f2a378a14bc9df790a2b82a08e08cd213ca86674d3febc7747a53d64db738eca53a0ef4e4d8ab,可能是客户端/视觉/QoL
mods/ferritecore-6.0.1-forge.jar,123034,120.15 KB,(省略),(省略),cdn.modrinth.com,https://cdn.modrinth.com/data/uXXizFIs/versions/DG5Fn9Sz/ferritecore-6.0.1-forge.jar,417fb6ce8f52abf40bd9d0390371790f9576f8ba,a1960a7c03dc32d4ccaccaf28afdd9b078758bbd62d15a91d4039a83fa9397a098e89b69591f6bd5190254d9ee97e502504154b9aec764adb8c65f000b75ba2c,未知/通用待确认
mods/fragmentum-forge-1.20.1-1.3.0.jar,2733846,2.61 MB,(省略),(省略),cdn.modrinth.com,https://cdn.modrinth.com/data/49C5QgTK/versions/5KD02RU4/fragmentum-forge-1.20.1-1.3.0.jar,4d3c7ff7d0281713b92506dc4e4a358c549d3cf1,703d1386cec1d9a5e6af81a1f10efd41f594417bcf285fb7f8dc4b2ba959636f1cad51c08ed78812f7eb96ff75ef3af498a91d46e97832d4ee0f17367a11dbff,未知/通用待确认
mods/fzzy_config-0.7.6+1.20.1+forge.jar,2374667,2.26 MB,(省略),(省略),cdn.modrinth.com,https://cdn.modrinth.com/data/hYykXjDp/versions/7MmXhjWs/fzzy_config-0.7.6%2B1.20.1%2Bforge.jar,2e9ca1c5f028c251e1bc18b9ebaa06d401c8e624,dff242c555006ddab4ffca5ca005b4186cfec3e9f5a9409dc15e91bf1e4eadb33508e458709d0b154b372e214ceb6d8cd343f1e718eb426db4570a292b0e4b0c,未知/通用待确认
mods/gd656killicon-1.1.1.003-1.20.1-forge.jar,11875654,11.33 MB,(省略),(省略),cdn.modrinth.com,https://cdn.modrinth.com/data/dWe4hPBb/versions/99M3Chfg/gd656killicon-1.1.1.003-1.20.1-forge.jar,1b817b74f152b1cf1b19d7ea6274ed1801887696,a1bddf304f0c5f4b90aa7b3604060b4bccf0f317fbbade77a778611e3eed9fe2f45b45601d56eda38a993abab983e68d1bf6136ae39bb5d2b7da89dc297f6e33,未知/通用待确认
mods/gnetum-2.4.6.jar,727997,710.93 KB,(省略),(省略),cdn.modrinth.com,https://cdn.modrinth.com/data/7MoE34WK/versions/Qllb5H3W/gnetum-2.4.6.jar,7754c4af277582133b44c1b6e586ca0488afd2a4,7f0e612d42c69b3360f451d6f93fd9eaa6597fd42d561548a5a05aca8ce77cc00e12323b4d584f95b9b73fa979e28b7d8df8f6fea5a7a2a903c88f615d102de5,未知/通用待确认
mods/hiddennames-1.20.1-1.0.6.jar,47190,46.08 KB,(省略),(省略),cdn.modrinth.com,https://cdn.modrinth.com/data/pLvK0C81/versions/5eZNuN1G/hiddennames-1.20.1-1.0.6.jar,397459119448bea9d338c60afda0ce1ae15358c1,3764f1410de0403291fc4416eae7adf168037ecb2eeccbf6764070fd1e6ad8136f8518b2532ee04a528958eee39b07ee6765053785c971da0df8c2092d8132e0,可能是客户端/视觉/QoL
mods/ImmediatelyFast-Forge-1.5.4+1.20.4.jar,538992,526.36 KB,(省略),(省略),cdn.modrinth.com,https://cdn.modrinth.com/data/5ZwdcRci/versions/OomXW3xp/ImmediatelyFast-Forge-1.5.4%2B1.20.4.jar,e2e60485a0c3efa72f1948c952b095150e3ba4fc,b4a30951b41367cbf6567e38d7ddada4a381b430e2bd2d2b01e195d1a8c434e9811af61b28962c1152bf5c669f3ede2551694df4e1b500b35cdf78178aa9e9f0,可能是客户端/视觉/QoL
mods/jei-1.20.1-forge-15.20.0.130.jar,1409705,1.34 MB,(省略),(省略),cdn.modrinth.com,https://cdn.modrinth.com/data/u6dRKJwZ/versions/RTFeXsvE/jei-1.20.1-forge-15.20.0.130.jar,1c51bf6df51ffbb1c5efe23780a7a3d053421f34,1987d97dfee85090117b3f5572059fcbf242f8dd4b41e2002c21ff271100aaf2ccc2f3ff912fa36a8cfec946c0a55e170d98c8b10347121357c9d428e08f6427,未知/通用待确认
mods/kotlinforforge-4.12.0-all.jar,7442998,7.10 MB,(省略),(省略),cdn.modrinth.com,https://cdn.modrinth.com/data/ordsPcFz/versions/Zsh14XeQ/kotlinforforge-4.12.0-all.jar,962fdb760409d6d71cbf079235f1ca94e3863a22,767f40030ed4b370a3838fa65ae1b79974f31979342fff7cc834a0d5f39eb28612642519352ff2a1dd5226ce1f745f8b3156ee3625ffde01219137d064c1ee40,可能是服务端或通用/玩法核心
mods/Krypton Reno-forge-1.20.1-26.1.1-1.20.1.jar,1793920,1.71 MB,(省略),(省略),cdn.modrinth.com,https://cdn.modrinth.com/data/JkxWVYwU/versions/sEH8i7QQ/Krypton%20Reno-forge-1.20.1-26.1.1-1.20.1.jar,bfa957bfa1f477f2cba4bd7fdf0e803095f80621,54c4f735dd1bb743bdf740599e89bcf6c8e6fbbd5499bf7ee8a56a2d80250b41cf2bd6efddcf58f5fbf3d40e1dce04c7f9dceca3ff02fa5cae9eae25ebb27929,未知/通用待确认
mods/libIPN-forge-1.20-4.0.2.jar,693301,677.05 KB,(省略),(省略),cdn.modrinth.com,https://cdn.modrinth.com/data/onSQdWhM/versions/pdAXmKcS/libIPN-forge-1.20-4.0.2.jar,3e7c7fcdc037a6ae3d9146e718d87fc83f88f6d5,be677ed6dd4aa60a67ec1b83c89db8ed7460c34f54e5783df94245b9e0a5af9d3e12ebb322cb04210dfaa6527ad1e555a998931adfd69c5a4c57ac0e4dc15819,未知/通用待确认
mods/lightspeed-1.20.1-1.1.2hotfix.jar,40285,39.34 KB,(省略),(省略),cdn.modrinth.com,https://cdn.modrinth.com/data/niZHUKxZ/versions/MUVGGG4m/lightspeed-1.20.1-1.1.2hotfix.jar,9d9ac4e588d27bc51b33498172e95539d03f9381,d795acc8f1614235c1062f94b58448cfc5893671123ef80b1ac372e871d34195a22abda1155bd400dd6ca2cfd6e7eab9d904f53cc97cea715c8f6c0d8aaee151,未知/通用待确认
mods/lrarmor-1.20.1-0.1.4.4.jar,887220,866.43 KB,(省略),(省略),cdn.modrinth.com,https://cdn.modrinth.com/data/iSupMfXz/versions/ATTGMqiB/lrarmor-1.20.1-0.1.4.4.jar,556cad5829b16424c4569bd5033dafd9ae86ec5f,ffe25c5d8340e358c5fa5556f1d7e3a0ad1fa8ece9a37a94129e27281ba632b10a77e5615b65b2f2952f8d5bbc4e1a77915b310fadc35ade919ddef014be5cfb,可能是服务端或通用/玩法核心
mods/lrtactical-1.20.1-0.4.1.jar,5439652,5.19 MB,(省略),(省略),cdn.modrinth.com,https://cdn.modrinth.com/data/AiwNM9O0/versions/McZNhhZ1/lrtactical-1.20.1-0.4.1.jar,f6b3b49aa6624cd6057cd0fbe02de871b8d9316a,0e8a82d26b515634728df55c540047ef5c4ab0fa935d9958fd24f24c09dc369b4742e3a6f017eb994f9bd4f8a2075a37601403297f39bae5af2c6d25b6b7626f,可能是服务端或通用/玩法核心
mods/midnightlib-forge-1.9.2+1.20.1.jar,61987,60.53 KB,(省略),(省略),cdn.modrinth.com,https://cdn.modrinth.com/data/codAaoxh/versions/EVVb5nP3/midnightlib-forge-1.9.2%2B1.20.1.jar,ff01aa718b71249012c41d9926d3fd2982809fdb,a4f50d46ad30de0f5622fd6aa8415a949889d114a1dc051b2d8d15ff505273aff80f8b40d61193ca71112567a3be396899e96d0ff1c26af31e77a9c68f70e896,未知/通用待确认
mods/moonlight-1.20-2.16.34-forge.jar,1419416,1.35 MB,(省略),(省略),cdn.modrinth.com,https://cdn.modrinth.com/data/twkfQtEc/versions/43kjMXMx/moonlight-1.20-2.16.34-forge.jar,5e20f2f0ce56a534accb32f80853d5a246599a4d,a83c960d783314f1d423a16225f92835429e1276ae0549698cf3560afae8ba05a0c54694e048d3fc05188216414fb268838992e480648e1e568e58c29eb995da,可能是服务端或通用/玩法核心
mods/MouseTweaks-forge-mc1.20.1-2.25.1.jar,76237,74.45 KB,(省略),(省略),cdn.modrinth.com,https://cdn.modrinth.com/data/aC3cM3Vq/versions/7JVXOe3K/MouseTweaks-forge-mc1.20.1-2.25.1.jar,d751153e722a4e014691c83f39f5b07c6ec5333c,a3bb0272c0a1a3be9250dfee030bb8f86217fa6a32bd534be8c940fdd8c466c800c2df85874877983ced36ecfc28c8ced6c0d42107c1ab621385b4be9a7c65eb,可能是客户端/视觉/QoL
mods/MRU-1.0.4+1.20.1+forge.jar,287393,280.66 KB,(省略),(省略),cdn.modrinth.com,https://cdn.modrinth.com/data/SNVQ2c0g/versions/nKL4LKzM/MRU-1.0.4%2B1.20.1%2Bforge.jar,c92d6d7cf2ffa333d64752edcde2b3c5a3e6edab,be202bfeb3724ff4433b51e02764c2498c36ed01229306492260c0bc2f3c62b9f8a3f500baf083210fc683723a60793db8c3e384b28e7da599806cf3c489fdac,未知/通用待确认
mods/obscure_tooltips-forge-1.20.1-3.10.0.jar,1137730,1.09 MB,(省略),(省略),cdn.modrinth.com,https://cdn.modrinth.com/data/5vetjDBY/versions/sFFZXXl8/obscure_tooltips-forge-1.20.1-3.10.0.jar,66ff6454b2fb04ee76a76982f87aeea2ffe855dd,af78c2e52d8cde711ab44e714cb96b00f8c2da0bb85e15aefd92e41fa954cce422201169439cdedb6d16586ae6613763bcccc12e81f7a60896244cc4da1fab2e,未知/通用待确认
mods/oculus-mc1.20.1-1.8.0.jar,2851119,2.72 MB,(省略),(省略),cdn.modrinth.com,https://cdn.modrinth.com/data/GchcoXML/versions/iQ1SwGc3/oculus-mc1.20.1-1.8.0.jar,984f774e71790deaec674c7587bd24e0711871b2,1bb4ac77400d6684347988ed298a692c2cb15cf7923693607eb8739b171a20fef7412259e9e157111d9ce21779badab386029956f7d2283a9e611722a373e9d5,可能是客户端/视觉/QoL
mods/packetfixer-3.3.2-1.18-1.20.4-merged.jar,188661,184.24 KB,(省略),(省略),cdn.modrinth.com,https://cdn.modrinth.com/data/c7m1mi73/versions/9F4NGhGR/packetfixer-3.3.2-1.18-1.20.4-merged.jar,79ebc5e66a5ee3ce92afb340e693d506e97361a0,916501acefab2a33f7b5438375dec0c3d523975d82c807c98496227c107c1efd57c95d9e1501d657513324a9ad617eb8ef7e963921263389af896da55dc707a9,未知/通用待确认
mods/PuzzlesLib-v8.1.33-1.20.1-Forge.jar,1342987,1.28 MB,(省略),(省略),cdn.modrinth.com,https://cdn.modrinth.com/data/QAGBst4M/versions/mIyVGf3d/PuzzlesLib-v8.1.33-1.20.1-Forge.jar,285b7c7616971338ccbe0022c9ea0f8ad3036aaf,4e0a6243f70a7f99bb631940bfeca49f31b13ec34f338d994fe129f0445e738ffd925e5c440f4e6bf822f9013bb8c2156de6dfcd62741d85c3ca3e8221d86a19,可能是服务端或通用/玩法核心
mods/saturn-mc1.20.1-0.1.3.jar,92319,90.16 KB,(省略),(省略),cdn.modrinth.com,https://cdn.modrinth.com/data/2eT495vq/versions/Yx85DYaG/saturn-mc1.20.1-0.1.3.jar,ad93f99d46714c46aaa6a4409aeca506e9fcac99,8b4b9a69e7b55df8148e83a6d17ef381b9c412d8730d0068974bd48bbdae1a1a43837a5307471bc5dd2b41d3aa821d73c8683a3f480a9d987b2cf0969aa178cc,未知/通用待确认
mods/skinlayers3d-forge-1.11.2-mc1.20.1.jar,2168901,2.07 MB,(省略),(省略),cdn.modrinth.com,https://cdn.modrinth.com/data/zV5r3pPn/versions/4oWvC9eo/skinlayers3d-forge-1.11.2-mc1.20.1.jar,473b49e775f4c9dd746929f20c33f8132b86f235,87f06a52665d5eec7cf7d9dcd73a94ba9aa2d0f1651578d3852afab128e17836cff76e40aa5661915ba106910cef0104a00ef04883977af74de1acc02bcecc1d,可能是客户端/视觉/QoL
mods/Sounds-2.2.1+1.20.1+forge.jar,10974911,10.47 MB,(省略),(省略),cdn.modrinth.com,https://cdn.modrinth.com/data/ZouiUX7t/versions/6vE02T1J/Sounds-2.2.1%2B1.20.1%2Bforge.jar,e75686799054958804d711b1b6ceef4d132764b8,f8195ec5f9611f9b96c5a23cfd81cb09bd1ea2721533aa768e550cf14c870b1dd384b6b04f012d0d5a09af1701d3cdc87ffad047e4ab5d2138094f60405b586c,可能是客户端/视觉/QoL
mods/taczaddon-1.20.1-1.1.8-hotfix1.jar,126103,123.15 KB,(省略),(省略),cdn.modrinth.com,https://cdn.modrinth.com/data/3Ihyt5WL/versions/KzpscuMb/taczaddon-1.20.1-1.1.8-hotfix1.jar,fa39105f44a6bd2f0bfcbddf3ea29fd8456eb0ac,0666cd75f327f91a7259c9971e34cdf9db86ceaaaa4d1379e5cd604640b126de9c69e0d84fc6ed97a31d70cc008bab2da1d19726b9db1e1d368a7a1b7f6de9aa,可能是服务端或通用/玩法核心
mods/tacz_x_guns_lights_addon-2.4.3.jar,91157,89.02 KB,(省略),(省略),cdn.modrinth.com,https://cdn.modrinth.com/data/XZBT7YTE/versions/BH8IjFyh/tacz_x_guns_lights_addon-2.4.3.jar,9174c3e793f00802e4bf49f7f7e629c71e66d07b,90bf2b52602a3eddee287ab65e27cc14a390371ede0c3e6a0bb4fbad656d0a1a1203c9ffd1ca0aa3905fe60298c529def6e48d1de942ce6e3bae6b084398f8a9,可能是服务端或通用/玩法核心
mods/worldplaytime-1.2.3-1.20.x-FORGE.jar,83163,81.21 KB,(省略),(省略),cdn.modrinth.com,https://cdn.modrinth.com/data/YkKeggdl/versions/3MMYpBHY/worldplaytime-1.2.3-1.20.x-FORGE.jar,fd2d2b5ba5aba079020c76fa865d4db27cfe3520,8828f99c9e5288570429a24272e22a30ba861e3fd8f199e138a381b147669e5e1795550b7632454aeb339c38a7297fad2fe6a74f33c17246c69bcae983474fe3,可能是客户端/视觉/QoL
mods/YeetusExperimentus-Forge-2.3.0-build.4+mc1.20.1.jar,568278,554.96 KB,(省略),(省略),cdn.modrinth.com,https://cdn.modrinth.com/data/HaaH232J/versions/LgPc1FbC/YeetusExperimentus-Forge-2.3.0-build.4%2Bmc1.20.1.jar,d40beae393ec07da5faf925cea380e31a7f08d39,55afa06e7020d6b84725d996046382641dd044078b5a1d918f30ae531a33be98990612dfc5eea41ec404246ce6eb0b77189d931e71c17b15bf5b903bc184444a,可能是客户端/视觉/QoL
mods/yet_another_config_lib_v3-3.6.6+1.20.1-forge.jar,1105891,1.05 MB,(省略),(省略),cdn.modrinth.com,https://cdn.modrinth.com/data/1eAoo2KR/versions/sCWgXDYQ/yet_another_config_lib_v3-3.6.6%2B1.20.1-forge.jar,644731e321c53a35a0b3177a3cc6347fe38002f4,7fdd923ae94c1ada9bf0524f21cdfbb4f870ea93b26d02f369829585892fc5a2f61e60f43a6686ee611ff11bde8f123f178279e2de453c8fb320264153a0e8d9,未知/通用待确认
mods/Zoomify-2.14.6+1.20.1.jar,1890159,1.80 MB,(省略),(省略),cdn.modrinth.com,https://cdn.modrinth.com/data/w7ThoJFB/versions/hWl13Hjr/Zoomify-2.14.6%2B1.20.1.jar,fb64da55f2a02b8dfa5bd87b71690ab38ae6012c,ad915de74005cbc55b6678a3333410e6891288b796efdd999bc5a9770f73981bf2c218e04a8bfe7837d445e1483ce9d22771f93132795be889db0c75834cf7d3,可能是客户端/视觉/QoL
