source_format,path,file_size,file_size_human,env_client,env_server,download_domain,download_url,sha1,sha512,projectID,fileID,required
modrinth-mrpack,mods/ScalableLux-0.1.0.1+neoforge.1cb1e91-all.jar,176443,172.31 KB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/Ps1zyz6x/versions/j10HNoNf/ScalableLux-0.1.0.1%2Bneoforge.1cb1e91-all.jar,d087823f3aec9e1ba5d8ec9b2888c35f95c06d4e,9378b6a70eca81b018121c01a1467c16245ee3f0bb3cfeece6e9045508ae18834256aed4a72d045df9fc3feca94f006518788260e47094173fa64c39d8450223,,,
modrinth-mrpack,mods/architectury-13.0.8-neoforge.jar,584004,570.32 KB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/lhGA9TYQ/versions/ZxYGwlk0/architectury-13.0.8-neoforge.jar,6ca11d3cc136bf69bb8f4d56982481eb85b5100b,65e3664953385d880320dd6bb818bcb96d361c07c53e2a7f65e64c6a47720ee26b233224ae9cad465ef0b2bbaefdaf30fb0175a983cecd91de058817d6fcf57e,,,
modrinth-mrpack,mods/c2me-neoforge-mc1.21.1-0.3.0+alpha.0.93.jar,4510749,4.30 MB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/COlSi5iR/versions/KmfiVd28/c2me-neoforge-mc1.21.1-0.3.0%2Balpha.0.93.jar,942a6d51d4c475117418a6a36b46833a8128fbc7,7dbb5cabc4669b900c570547fc636ce77b24e08451f4c699db76ec9ed3c805a256323862d7823e7d8c5acd10baa15e83c27dae3384ed5ea765f7e883a41f6045,,,
modrinth-mrpack,mods/capes-1.5.4+1.21-fabric.jar,77572,75.75 KB,required,unsupported,cdn.modrinth.com,https://cdn.modrinth.com/data/89Wsn8GD/versions/6SzVPVR4/capes-1.5.4%2B1.21-fabric.jar,11655909a800fd70e2e0ca940cddc2bdbcbe2003,8cd91182feec18a41412d6a8ad5311f730d881c30959aeb80eddf993c7930200758d0f4f1676dcbced7d315c124a0c02137f997c998a4912dd1a10a6a33664af,,,
modrinth-mrpack,mods/chat_heads-0.14.2-neoforge-1.21.jar,85282,83.28 KB,required,unsupported,cdn.modrinth.com,https://cdn.modrinth.com/data/Wb5oqrBJ/versions/JElYg8X3/chat_heads-0.14.2-neoforge-1.21.jar,ec242eb18f8479c2f4cedb6c79a63686dc91c55e,dc765b033ca5c8d2a3bb4c59e1b496a8c74371cdfa1bd8b3055951099e092c8d2b00a9f62f7b45798c85972651bcc0072179571b59dcfe4e4681d5d4cd094f6c,,,
modrinth-mrpack,mods/cloth-config-15.0.140-neoforge.jar,1163890,1.11 MB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/9s6osm5g/versions/izKINKFg/cloth-config-15.0.140-neoforge.jar,c3e5733ba4503b102589a026000fd5ce0212f6f2,aaf9b010955b8cd294e5a92f069985b18729fd5e2cf22d351f1dff9680f15488688803ec41e77e941cbde130ceb535014ca4c868047d80ab69c2d508e216654d,,,
modrinth-mrpack,mods/connector-2.0.0-beta.14+1.21.1-full.jar,4526785,4.32 MB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/u58R1TMW/versions/1i8teo7m/connector-2.0.0-beta.14%2B1.21.1-full.jar,930067497b5c1249e51b3e33620ab4e72dc92f4c,6ed3168c2c7dad2606ada1fdf63ee412bb8bb5620718a702f6ac51310e671f2f93ab46fc96400e258f4433e51b96f9dd21441e1a8963d8b356c75b578e156dcc,,,
modrinth-mrpack,mods/continuity-3.0.0+1.21.neoforge.jar,1014626,990.85 KB,required,unsupported,cdn.modrinth.com,https://cdn.modrinth.com/data/1IjD5062/versions/eXGUs5sy/continuity-3.0.0%2B1.21.neoforge.jar,0aecd2d043ac25299254623fafdd9129ab2ba9c2,320b6def6073ce0ffc0ce2bd7cdb66324467ea3e7cec05508f32d78f65c60ff3e155394b94c60f62e059404ec0ca3fc6112987a5764a8f85241d3026a2ee4935,,,
modrinth-mrpack,mods/cwb-neoforge-3.0.0+mc1.21.jar,81843,79.92 KB,required,unsupported,cdn.modrinth.com,https://cdn.modrinth.com/data/ETlrkaYF/versions/epixUL1j/cwb-neoforge-3.0.0%2Bmc1.21.jar,6fe849c4a488107572c9af9d7d8329d93376f343,cbe2770179a948bc5cc7ab9fffdb65262745bb42902d03860cb6218708c1d5ffbabfafe40046dd350c3290ab9d07797bf0225ee4a41f917fff120b23b9d9cc04,,,
modrinth-mrpack,mods/e4mc-neoforge-6.1.2.jar,664019,648.46 KB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/qANg5Jrr/versions/uQddXQQr/e4mc-neoforge-6.1.2.jar,1146ae355c716fbcd60bee90f2c3b2db129612c4,69ebc143e271d3227f52d37fb4bc7956bb203650fe33210a2962bbd34652a931582a588570759f7312d74a03b16cb60d5d848985863c43a9dc213e14a018593f,,,
