path,file_size,file_size_human,env_client,env_server,download_domain,download_url,sha1,sha512
mods/[YDM的武器大师] weaponmaster-client-only-fabric-1.20.1-3.0.5.jar,316932,309.50 KB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/qi1sj2da/versions/jV5BFDGB/weaponmaster_ydm-fabric-1.20.1-4.2.6.jar,a73cc2f57cf48ffb711580dba64078050a9d094f,4afd17e45506ecd892128ec5ce69ccc3e827c4f1a93c2195814e0343dec37f617cd87fd211898b24a8a7c34937bea6d441d77b0af9c6b6a682ca24bffb94ba3b
mods/[YUNG的下界要塞优化] YungsBetterNetherFortresses-1.20-Fabric-2.0.6.jar,760974,743.14 KB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/Z2mXHnxP/versions/FL88RLRu/YungsBetterNetherFortresses-1.20-Fabric-2.0.6.jar,837560db615bad870809e09436e943c4324301d1,a752f0dea20fa86e6d3a4f87d180af706b2ad5e3d434185aaa624692fc55329a2e2e410e67f843ec982e7b90ae63565b4aed43adbee6c50ded403ef50d91d7fd
mods/[YUNG的丛林神庙优化] YungsBetterJungleTemples-1.20-Fabric-2.0.5.jar,947293,925.09 KB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/z9Ve58Ih/versions/6LPrzuB0/YungsBetterJungleTemples-1.20-Fabric-2.0.5.jar,e0c5366159af63c1a0b110ce1a62750d3d75d978,ea08ade714376f48cabdddd2e4b7376fc5cc5947e3911583ba4e182ab22c1335c884043441725cde21fb6e84402d17c43f509ade339d46a1a1db40f0e77ee81a
mods/[YUNG的地牢优化] YungsBetterDungeons-1.20-Fabric-4.0.4.jar,944170,922.04 KB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/o1C1Dkj5/versions/nidyvq2m/YungsBetterDungeons-1.20-Fabric-4.0.4.jar,cb4ea32fe75c9dbcd62f6f3d3f912c1b79ac697a,02ee00641aea2e80806923c1d97a366b82eb6d6e1d749fc8fb4eeddeddea718c08f5a87ba5189427f747801b899abe5a6138a260c7e7f949e5e69b4065ac5464
mods/[YUNG的末地岛屿优化] YungsBetterEndIsland-1.20-Fabric-2.0.6.jar,517369,505.24 KB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/2BwBOmBQ/versions/qJTsmyiE/YungsBetterEndIsland-1.20-Fabric-2.0.6.jar,169bc72b247240b79cad00751e2d5a2b7493a389,cb63d9cdd69f955ed8044aec6f03aedbf76fdb53fd97826b254b68e3559941df301b714260505d165c58c276aa7ea7c11c2fada7509cb731f10b1815d5633b87
mods/[YUNG的沙漠神殿优化] YungsBetterDesertTemples-1.20-Fabric-3.0.3.jar,1063786,1.01 MB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/XNlO7sBv/versions/1Z9HNWpj/YungsBetterDesertTemples-1.20-Fabric-3.0.3.jar,b8de6410b1ae57a49848f172d5310dc79e731b25,29839615e042435b0fdacab2b97524a6689190692a289c25e305dbaec34764f38e70c65cfd77b49ac0dcc549281b61cfe244edc62809082e39db54990ef84cbf
mods/[YUNG的海底神殿优化] YungsBetterOceanMonuments-1.20-Fabric-3.0.4.jar,1165832,1.11 MB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/3dT9sgt4/versions/4c00pjbt/YungsBetterOceanMonuments-1.20-Fabric-3.0.4.jar,e4e512ae388a57d4eb383657e52707c01283d7be,b050f94b70628f9cb64afe1d184b3fd5eee4a7d556ff81b05dd90e954484c415b24b235a8471085cbba2e28a1123e49de9a16e6e7bc52da585db81762562f186
mods/[一键背包整理Next] InventoryProfilesNext-fabric-1.20-1.10.20.jar,1455143,1.39 MB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/O7RBXm3n/versions/ZTQIr2Z9/InventoryProfilesNext-fabric-1.20-1.10.20.jar,e45676c4193d69b0eb0ebdb7881a6daeb36a9b5e,91a031e86f08ca7a018c6c65c1e57aac39d5bf8a14d299d2ed8aab86f8deddbeecd54496fb4d8f3e2e00a30b8058ab9fe70910b448507829005733528c667685
mods/[万用皮肤补丁] CustomSkinLoader_Fabric-14.27.jar,190419,185.96 KB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/idMHQ4n2/versions/Fsrt5ueW/CustomSkinLoader_Fabric-14.27.jar,1d6739052adf3115dd134a9c7f84fe1319ff2687,b29d25caf4418428ed07ec2e8645f58632518a907a66d2526c2edec894f1b0bc62c784abcca4cfccfdacb00ebef8cb73c0dec3679683923d09c999fb6fb22453
mods/[下界传送门修正] netherportalfix-fabric-1.20-13.0.2.jar,215533,210.48 KB,required,required,cdn.modrinth.com,https://cdn.modrinth.com/data/nPZr02ET/versions/SL5baWpT/netherportalfix-fabric-1.20-13.0.2.jar,cc484ef398aa288dff2d61e732f80ae2a433b3ef,21b3ed4ad098eaaff2cf13248bb9defc285c1c7e90314d2aada9aa7a4276b6f756d63dd633774fdb2920976f66d7902ad9073526ed278677a62a6fc42b340dd8
